id,X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
385,7,15,80,69,85,0.816496580927726,0.836660026534076,0.707106781186548,16892,5439,9533,199.662214752817,265.400452147316,285.791532414801
386,7,16,79,66,88,1.1180339887499,0.447213595499958,1.04880884817015,16800,4653,12117,76.5702292016943,192.065353460743,2677.12272785541
387,6,16,84,69,83,4,0.948683298050514,1.14017542509914,18159,3035,10519,390.500320102302,235.388402433085,280.554807479751
388,6,17,83,72,86,0.5,1.14017542509914,0.948683298050514,18106,3010,11956,417.368542178253,198.741289117284,269.243941436014
389,7,17,85,71,86,1.22474487139159,1.22474487139159,1.61245154965971,18705,3662,14164,106.477697195234,259.825903250619,584.389938311741
390,7,18,84,71,88,0,0.894427190999916,1.58113883008419,19389,5024,16855,0,418.530763504907,2383.41175628551
391,6,18,82,65,83,1.4142135623731,1.26491106406735,0.894427190999916,18846,3487,16234,207.755264674568,160.424125367726,3075.47882450847
392,6,19,81,72,85,0.816496580927726,1.14017542509914,1.51657508881031,20185,4525,16069,405.857939021361,108.70004599815,760.325785436743
393,7,19,81,64,88,0,0.632455532033676,1.18321595661992,26683,5831,16800,0,268.9514826135,1035.49147751201
394,5,19,83,65,91,1,0.894427190999916,1.58113883008419,20881,3739,15249,1230.50010158472,212.529762621615,865.604008770754
395,5,18,87,65,88,1.91485421551268,1.58113883008419,1.48323969741913,18716,3846,13296,236.731915887993,332.615543834019,291.006700953775
396,5,17,85,69,87,0.816496580927726,0.547722557505166,1.14017542509914,18355,2679,13869,106.739558427667,175.012285283062,529.989716881375
397,5,16,78,56,84,1,0.774596669241483,0.632455532033676,17424,1912,11280,23.5053185470863,103.858557663777,145.771053367944
398,5,15,80,66,76,1.29099444873581,1.26491106406735,1.22474487139159,15608,2123,10773,248.839305576912,145.657474919758,200.745361092106
399,5,14,72,62,82,0,1,0.632455532033676,15070,3495,12096,55.5022522065547,177.208351947644,407.566804340098
400,5,13,70,67,81,0.707106781186548,0.447213595499958,0.447213595499958,13925,5550,12222,11.5108644332213,378.47866518471,154.088610870499
401,5,12,75,70,82,0,0.447213595499958,0.547722557505166,13885,5272,10716,163.647996219528,163.070843500609,117.093125331934
402,5,11,73,78,78,0.816496580927726,1.04880884817015,0.547722557505166,11888,5951,10139,95.8279708644611,178.549712965325,246.211088296202
403,5,10,78,82,76,0.707106781186548,1.22474487139159,0.894427190999916,12034,6047,9848,317,171.104354123441,136.604904743571
404,5,9,70,71,76,0.816496580927726,0.836660026534076,1,10025,7126,10118,97.3892533427927,181.866984359449,215.694691636118
405,5,8,70,78,79,0,1.4142135623731,0.774596669241483,9658,7999,10900,202.50061728301,217.445855329551,112.64324214084
406,5,7,74,77,76,0.816496580927726,1.89736659610103,0.774596669241483,8019,9556,9857,70.7012493996158,358.545812972345,198.513475613118
407,4,6,80,72,80,0,0.774596669241483,0.632455532033676,9598,7371,11616,0,219.049766035027,229.429291939804
408,4,8,81,72,81,1.4142135623731,1.30384048104053,1,9397,7246,11506,409.179259819784,194.047416885667,106.252999957648
409,4,9,72,75,82,0.707106781186548,0.948683298050514,1.04880884817015,12125,6636,11368,35.5035209521535,155.813028980249,210.985781511456
410,4,10,74,72,83,0,0.774596669241483,1.14017542509914,11156,7421,10532,180,244.77847127556,267.154824025321
411,3,10,69,70,83,1,1.04880884817015,1.44913767461894,11703,5431,11560,55,139.713277822833,203.800147203087
412,3,9,73,67,79,1,1.24721912892465,1,10846,6691,12658,73.501700660597,241.24814334346,320.154823657416
413,3,8,74,68,79,0,0.836660026534076,0.836660026534076,10627,7063,13176,22.4499443206436,187.357145580306,150.874782518485
414,3,11,74,70,81,2,1,1.51657508881031,12886,3821,15694,163,117.27489074819,507.297151578836
415,3,12,75,66,83,0.816496580927726,1.04880884817015,1,13198,2876,14121,180.049993057484,169.586556070934,242.225101919681
416,3,13,83,72,86,0.707106781186548,0.707106781186548,1.30384048104053,15806,2354,14610,180,140.610099210547,111.802057226153
417,3,14,83,67,82,0.816496580927726,0.447213595499958,0.632455532033676,16533,1502,13110,197.232519293008,182.630775062693,171.74108419362
418,3,15,72,72,90,0.707106781186548,1.18321595661992,1.14017542509914,16503,899,13819,11,190.56285052444,146.33693997074
419,3,16,84,68,84,0,0.774596669241483,1.04880884817015,17270,1015,14177,0,139.205962515978,250.00259998648
420,3,17,80,62,84,0,1.37840487520902,1.14017542509914,19512,989,14571,1071.27634156645,211.610491233303,198.009595727076
421,3,18,81,65,89,0.816496580927726,0.632455532033676,1.09544511501033,21534,2575,15977,361.613974656216,164.67300932454,636.930294459292
422,3,19,85,68,91,1.15470053837925,0.774596669241483,1.48323969741913,20930,4095,16137,189.027334883962,344.316569453171,172.566219173974
423,4,19,79,69,84,1.63299316185545,0.948683298050514,1.30384048104053,20440,3689,16559,1347.77656407383,129.571601826944,293.551869351909
424,2,12,69,69,81,1,0.632455532033676,1.58113883008419,14676,6559,13654,18.5067555233217,1605.64775090927,300.518551839982
