X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
10,5,74,87,68,1.18321595661992,0.774596669241483,0.774596669241483,9837,17794,4695,229.291081379106,184.488482025302,101.402169602036
9,5,81,86,74,1,0.836660026534076,0.707106781186548,6037,13623,8038,205.311470697572,313.128088807121,226.425926077382
9,6,72,84,70,0.547722557505166,1.58113883008419,1.04880884817015,8102,14243,6211,173.860001150351,513.119576707028,210.894286314257
8,5,71,85,79,1.04880884817015,1.04880884817015,1.04880884817015,5352,14751,7943,234.651230552921,930.90112256888,259.381572205891
12,4,67,85,64,0.836660026534076,1.14017542509914,0.774596669241483,6279,20038,6275,248.249269888151,380.236899840087,178.150498174998
13,4,75,87,70,0.707106781186548,0.707106781186548,0.707106781186548,7294,19274,5897,238.290998571075,220.312732269381,255.395771304068
13,5,73,83,67,0.707106781186548,0.707106781186548,0.948683298050514,8385,15598,4348,265.99530071037,219.378440143967,247.458481366067
13,6,75,89,68,0.948683298050514,0.774596669241483,0.836660026534076,9976,15071,3154,287.680899609272,189.895497576957,319.147614749037
13,7,74,87,67,1.04880884817015,1.48323969741913,0.894427190999916,11333,15223,2534,209.402244496089,224.901534009886,204.694894904587
13,8,80,85,64,1.09544511501033,0.547722557505166,0.632455532033676,11235,14597,1937,209.709799484907,213.492388623108,281.309260423471
13,9,78,82,66,0.894427190999916,0.707106781186548,1.30384048104053,11179,12511,1869,265.088287179951,131.82147017842,184.859135560026
13,10,79,84,60,0.836660026534076,0.547722557505166,0.948683298050514,12116,12537,1208,147.899290059148,351.003846132774,161.004037216462
13,11,87,76,63,0.707106781186548,0.632455532033676,0.948683298050514,13997,11250,1599,279.886584172947,257.751818616281,136.837129464192
14,11,84,72,63,2.19089023002066,0.547722557505166,1.94935886896179,13395,12209,538,202.736281903363,194.515295028437,148.530804885721
14,10,81,81,65,1.18321595661992,0.707106781186548,1.22474487139159,12743,13432,279,138.031880375513,247.56231538746,167.210047544997
15,11,75,78,63,0.948683298050514,0.316227766016838,0.948683298050514,14045,13356,489,154.374868420997,174.202468409607,250.510079637527
16,11,82,81,66,1.04880884817015,0.447213595499958,0.774596669241483,14535,14103,174,184.831815443121,149.414858698859,161.800494436822
16,10,78,75,63,1.44913767461894,0.707106781186548,1.04880884817015,14826,14241,62,189.246928640863,132.311753068274,187.935361228269
17,10,78,79,66,1.34164078649987,0.894427190999916,1.14017542509914,14565,15189,1724,238.553977120483,153.40208603536,180.492936149867
17,11,81,79,63,1.61245154965971,0.836660026534076,1.18321595661992,15435,14848,1920,322.139721239092,177.413077308298,172.799884259221
17,9,83,82,63,0.547722557505166,0.774596669241483,1,14937,16541,1543,148.942606395887,232.682401569178,211.516666010033
17,8,83,88,68,1.8165902124585,1,1,13295,16979,1960,141.314188954967,302.134738155016,262.74702662447
