Best Fitness,Cp_min,Cp_max,Cg_min,Cg_max,w_min,w_max,gwn_std_dev
6.760903358459473,0.1,3.5,0.3,3.5,0.8,0.9,0.01
8.638888359069824,0.1,3.5,0.3,3.5,0.8,2.0,0.15
11.56310749053955,0.1,3.5,0.3,3.0,0.05,1.7,0.01
8.111260414123535,0.1,3.5,0.3,3.0,0.05,1.7,0.01
6.761338233947754,0.1,3.5,0.3,3.0,0.05,2.0,0.15
8.920215606689453,0.1,3.5,0.3,3.0,0.3,1.7,0.15
6.5653181076049805,0.1,3.5,0.3,3.0,0.8,1.3,0.01
5.55170202255249,0.1,3.5,0.3,3.0,0.8,1.7,0.01
8.830063819885254,0.1,3.5,0.3,3.0,0.8,2.0,0.15
9.264787673950195,0.1,3.5,0.3,2.5,0.05,2.0,0.01
9.482455253601074,0.1,3.5,0.3,2.5,0.05,2.0,0.07
5.713865280151367,0.1,3.5,0.3,2.5,0.3,1.3,0.15
7.132007122039795,0.1,3.5,0.3,2.5,0.3,2.0,0.07
8.663763999938965,0.1,3.5,0.3,2.5,0.8,0.9,0.15
5.411863803863525,0.1,3.5,0.3,2.5,0.8,1.3,0.15
8.126364707946777,0.1,3.5,0.3,2.5,0.8,2.0,0.15
10.352733612060547,0.1,3.5,0.3,2.0,0.05,1.7,0.2
13.323776245117188,0.1,3.5,0.3,2.0,0.05,2.0,0.15
6.38721227645874,0.1,3.5,0.3,2.0,0.3,2.0,0.01
6.367584705352783,0.1,3.5,0.3,2.0,0.3,1.7,0.2
5.8961615562438965,0.1,3.5,0.3,2.0,0.8,1.7,0.2
7.50241231918335,0.1,3.5,0.3,2.0,0.8,1.7,0.2
15.295710563659668,0.1,3.5,0.3,1.5,0.05,1.7,0.01
7.911195755004883,0.1,3.5,0.3,1.5,0.05,1.3,0.07
10.84273624420166,0.1,3.5,0.3,1.5,0.05,2.0,0.2
7.164757251739502,0.1,3.5,0.3,1.5,0.3,2.0,0.2
4.867051601409912,0.1,3.5,0.3,1.5,0.3,2.0,0.2
6.81691312789917,0.1,3.5,0.3,1.5,0.8,1.3,0.01
6.174591541290283,0.1,3.5,0.3,1.5,0.8,2.0,0.2
6.787037372589111,0.1,3.5,0.5,3.5,0.05,1.3,0.15
5.71270751953125,0.1,3.5,0.5,3.5,0.05,2.0,0.01
5.554899215698242,0.1,3.5,0.5,3.5,0.3,1.3,0.2
5.906810283660889,0.1,3.5,0.5,3.5,0.3,2.0,0.01
7.10270357131958,0.1,3.5,0.5,3.5,0.8,1.3,0.2
6.675414562225342,0.1,3.5,0.5,3.5,0.8,1.3,0.01
9.494096755981445,0.1,3.5,0.5,3.0,0.05,1.3,0.07
7.114864349365234,0.1,3.5,0.5,3.0,0.05,1.7,0.07
9.914743423461914,0.1,3.5,0.5,3.0,0.3,1.3,0.01
5.177751064300537,0.1,3.5,0.5,3.0,0.3,1.7,0.15
7.271286487579346,0.1,3.5,0.5,3.0,0.8,0.9,0.15
8.265536308288574,0.1,3.5,0.5,3.0,0.8,0.9,0.2
7.036439418792725,0.1,3.5,0.5,3.0,0.8,1.7,0.07
10.86707592010498,0.1,3.5,0.5,2.5,0.05,0.9,0.01
10.050273895263672,0.1,3.5,0.5,2.5,0.05,2.0,0.01
9.632104873657227,0.1,3.5,0.5,2.5,0.3,1.3,0.01
6.246243000030518,0.1,3.5,0.5,2.5,0.3,1.3,0.07
6.213493824005127,0.1,3.5,0.5,2.5,0.8,1.3,0.07
6.99601411819458,0.1,3.5,0.5,2.5,0.8,1.3,0.15
10.99323844909668,0.1,3.5,0.5,2.5,0.8,1.7,0.15
10.761642456054688,0.1,3.5,0.5,2.0,0.05,1.7,0.01
9.276226997375488,0.1,3.5,0.5,2.0,0.05,1.7,0.2
7.031772136688232,0.1,3.5,0.5,2.0,0.3,1.7,0.15
9.569886207580566,0.1,3.5,0.5,2.0,0.8,0.5,0.2
6.545309066772461,0.1,3.5,0.5,2.0,0.8,1.7,0.01
6.743753433227539,0.1,3.5,0.5,2.0,0.8,2.0,0.15
7.070856094360352,0.1,3.5,0.5,2.0,0.8,2.0,0.2
6.357080936431885,0.1,3.5,0.5,1.5,0.05,1.7,0.07
